tick,0,1,2,3,4,5
0.0,28,-68,28,54,-53,-29
0.01,30,-68,25,56,-51,-32
0.02,31,-69,21,59,-48,-36
0.03,33,-69,18,60,-45,-39
0.04,34,-69,15,62,-43,-42
0.05,35,-69,12,63,-40,-44
0.06,36,-69,9,65,-37,-47
0.07,37,-69,7,66,-35,-49
0.08,38,-69,4,67,-32,-51
0.09,38,-68,1,67,-29,-53
0.1,39,-68,0,68,-27,-55
0.11,40,-67,-2,68,-24,-57
0.12,40,-66,-5,69,-22,-58
0.13,41,-66,-7,69,-20,-59
0.14,41,-65,-9,69,-18,-60
0.15,41,-64,-11,69,-16,-62
0.16,42,-63,-13,69,-13,-63
0.17,42,-62,-15,69,-12,-64
0.18,42,-61,-17,69,-10,-65
0.19,43,-60,-19,69,-8,-65
0.2,43,-59,-21,69,-6,-66
0.21,43,-58,-23,69,-4,-67
0.22,43,-56,-25,68,-2,-67
0.23,43,-55,-26,68,-1,-68
0.24,43,-54,-28,68,0,-68
0.25,43,-52,-30,67,2,-68
0.26,43,-51,-32,67,4,-69
0.27,43,-50,-33,66,6,-69
0.28,43,-48,-35,66,7,-69
0.29,43,-47,-37,65,8,-69
0.3,43,-45,-39,64,11,-69
0.31,42,-44,-40,63,13,-69
0.32,42,-43,-41,62,14,-69
0.33,42,-41,-43,62,16,-69
0.34,42,-39,-45,61,18,-69
0.35000000000000003,41,-38,-46,60,19,-69
0.36,41,-37,-47,59,20,-69
0.37,41,-35,-49,58,22,-69
0.38,40,-33,-50,57,24,-69
0.39,40,-32,-51,56,25,-68
0.4,40,-30,-53,54,28,-68
0.41000000000000003,39,-28,-54,53,29,-67
0.42,39,-27,-55,52,30,-67
0.43,38,-25,-56,51,32,-67
0.44,38,-24,-57,50,34,-66
0.45,37,-22,-58,48,35,-66
0.46,37,-20,-59,47,36,-65
0.47000000000000003,36,-19,-60,45,39,-64
0.48,36,-17,-61,44,40,-63
0.49,35,-15,-62,43,41,-63
0.5,34,-13,-63,41,43,-62
0.51,34,-12,-64,39,45,-61
0.52,33,-10,-64,38,46,-60
0.53,32,-8,-65,36,48,-59
0.54,32,-7,-66,35,49,-58
0.55,31,-5,-66,33,50,-57
0.56,30,-3,-67,31,52,-56
0.5700000000000001,29,-2,-67,29,53,-54
0.58,29,0,-68,28,54,-53
