tick,0,1,2,3,4,5
0,28.878411409922812,-68.3169270592514,28.130356427883854,54.82648636659807,-53.528605658084075,-29.958295317556342
5,30.68906590815116,-69.03103393912275,23.91024477239743,57.80407696388325,-50.060099043944305,-34.33985680847436
10,32.29301217992333,-69.51576785757466,20.32150945990198,60.02371257607123,-46.965913498349884,-37.928408061683776
15,33.70262068486386,-69.79981702122389,17.04637102746419,61.837743784730634,-44.12238692941071,-40.9659571975023
20,35.065848863504286,-69.88872729277617,13.582732330252377,63.55584456415626,-41.068565879356385,-44.022940299522666
25,36.30380720108659,-69.75269681214219,10.03958734621293,65.12432648758687,-37.58695907664849,-47.276405962602944
30,37.412341201506266,-69.49214038401547,6.856463368983075,66.30311324253266,-34.60932458524337,-49.83042693343358
35,38.373545085100716,-69.0410089244962,3.7820527313163907,67.29925578387343,-31.68276377925346,-52.1981357074408
40,39.253573534809256,-68.42204455134781,0.44000824072835343,68.21275746390366,-27.869068578770403,-55.12767354284594
45,40.01663651005201,-67.75153424880133,-2.223872495763988,68.77252738563125,-25.601705198753006,-56.6546455421589
50,40.660179149970006,-66.98542674676956,-4.864387701500387,69.20621012541196,-22.866105028512344,-58.46814092884899
55,41.2443528896712,-66.04291576618023,-7.62409784417321,69.55146575172606,-20.020085637570528,-60.20896251465179
60,41.759941840031104,-64.99706831887474,-10.37436486715865,69.77402773500066,-17.18764993384658,-61.7730719120371
65,42.188516782145406,-63.91649134929699,-12.835082528628856,69.86192936790431,-14.778200179956148,-63.00744037196134
70,42.516638774279436,-62.872023467086834,-15.035749985134004,69.85667419471571,-12.479701523512922,-64.10458373070655
75,42.84780069880451,-61.5749081360146,-17.53788503770737,69.7607206871775,-10.15587398342479,-65.07310245707552
80,43.09125152755724,-60.281947004776384,-19.800358172372817,69.59026603882926,-7.869645615564707,-65.99512286104182
85,43.274698952362726,-58.86510808398094,-22.20775625358799,69.32882282219094,-5.494416868341787,-66.79391858673426
90,43.38924105674455,-57.56742040227034,-24.24331905653244,69.0078352656701,-3.607342885917088,-67.35617809809325
95,43.46347284804764,-56.17528196494317,-26.31191789592053,68.5914977102039,-1.2143722552356984,-68.04811895387412
100,43.5202555686257,-54.58373648378113,-28.537192303626178,68.17040035234848,0.47321074600716173,-68.40104745690125
105,43.51125591473464,-52.970470829346596,-30.7157939695642,67.55399544513442,3.025553408474096,-68.92977111255252
110,43.445700800744575,-51.523007955678864,-32.555098768103335,67.03333806215757,4.725843448084984,-69.18289411684539
115,43.35957013109467,-49.82309324887106,-34.63534239209522,66.31804963224812,6.78745481376297,-69.46993349986548
120,43.224597245965136,-48.21432083898155,-36.49146741085715,65.5762997369834,8.89305795703865,-69.68502030960994
125,43.05499508751494,-46.46925060781798,-38.44897887233618,64.77468496158349,10.829405316381706,-69.80536604290774
130,42.84884488085502,-44.5574560288689,-40.5314338290274,63.84848111842879,12.921446415399185,-69.86028744762993
135,42.603464261671945,-42.74077288207588,-42.38223902458623,62.85864983505279,15.061065537174645,-69.85608562912839
140,42.32290736776619,-41.120624448339456,-43.972413832217654,61.932656049908594,16.770367831661773,-69.83126028880517
