tick,0,1,2,3,4
0,28,-68,28,54,-53
0.01,30,-68,25,56,-51
0.02,31,-69,21,59,-48
0.03,33,-69,18,60,-45
0.04,34,-69,15,62,-43
0.05,35,-69,12,63,-40
0.06,36,-69,9,65,-37
0.07,37,-69,7,66,-35
0.08,38,-69,4,67,-32
0.09,38,-68,1,67,-29
0.1,39,-68,0,68,-27
0.11,40,-67,-2,68,-24
0.12,40,-66,-5,69,-22
0.13,41,-66,-7,69,-20
0.14,41,-65,-9,69,-18
0.15,41,-64,-11,69,-16
0.16,42,-63,-13,69,-13
0.17,42,-62,-15,69,-12
0.18,42,-61,-17,69,-10
0.19,43,-60,-19,69,-8
0.2,43,-59,-21,69,-6
0.21,43,-58,-23,69,-4
0.22,43,-56,-25,68,-2
0.23,43,-55,-26,68,-1
0.24,43,-54,-28,68,0
0.25,43,-52,-30,67,2
0.26,43,-51,-32,67,4
0.27,43,-50,-33,66,6
0.28,43,-48,-35,66,7
0.29,43,-47,-37,65,8
0.3,43,-45,-39,64,11
0.31,42,-44,-40,63,13
0.32,42,-43,-41,62,14
0.33,42,-41,-43,62,16
0.34,42,-39,-45,61,18
0.35,41,-38,-46,60,19
0.36,41,-37,-47,59,20
0.37,41,-35,-49,58,22
0.38,40,-33,-50,57,24
0.39,40,-32,-51,56,25
0.4,40,-30,-53,54,28
0.41,39,-28,-54,53,29
0.42,39,-27,-55,52,30
0.43,38,-25,-56,51,32
0.44,38,-24,-57,50,34
0.45,37,-22,-58,48,35
0.46,37,-20,-59,47,36
0.47,36,-19,-60,45,39
0.48,36,-17,-61,44,40
0.49,35,-15,-62,43,41
0.5,34,-13,-63,41,43
0.51,34,-12,-64,39,45
0.52,33,-10,-64,38,46
0.53,32,-8,-65,36,48
0.54,32,-7,-66,35,49
0.55,31,-5,-66,33,50
0.56,30,-3,-67,31,52
0.57,29,-2,-67,29,53
0.58,29,0,-68,28,54
0.59,28,0,-68,27,55
0.6,27,2,-68,24,57
0.61,26,4,-69,23,58
0.62,25,6,-69,21,59
0.63,24,7,-69,19,60
0.64,23,9,-69,19,60
0.65,22,10,-69,17,61
0.66,21,12,-69,15,62
0.67,20,14,-69,13,63
0.68,19,15,-69,12,64
0.69,18,17,-69,10,64
0.7,17,19,-69,8,65
0.71,16,20,-69,6,66
0.72,15,22,-69,5,66
0.73,14,24,-69,3,67
0.74,12,25,-68,1,67
0.75,11,27,-68,0,68
0.76,10,29,-67,-1,68
0.77,9,31,-67,-3,68
0.78,7,32,-66,-4,69
0.79,6,34,-66,-6,69
0.8,4,36,-65,-8,69
0.81,3,38,-64,-10,69
0.82,1,40,-63,-12,69
0.83,0,42,-62,-14,69
0.84,-1,43,-61,-16,69
0.85,-2,45,-60,-18,69
0.86,-4,47,-59,-20,69
0.87,-5,49,-58,-22,69
0.88,-7,51,-57,-24,68
0.89,-9,52,-55,-27,68
0.9,-11,54,-53,-29,67
0.91,-13,56,-51,-32,67
0.92,-14,58,-49,-34,66
0.93,-16,59,-47,-37,65
0.94,-18,61,-44,-40,63
0.95,-20,62,-42,-43,62
0.96,-22,64,-39,-45,60
0.97,-24,65,-36,-48,59
0.98,-25,66,-33,-50,57
0.99,-27,67,-31,-52,55
1,-28,68,-28,-54,53
1.01,-30,68,-25,-56,51
1.02,-31,69,-21,-59,48
1.03,-33,69,-18,-60,45
1.04,-34,69,-15,-62,43
1.05,-35,69,-12,-63,40
1.06,-36,69,-9,-65,37
1.07,-37,69,-7,-66,35
1.08,-38,69,-4,-67,32
1.09,-38,68,-1,-67,29
1.1,-39,68,0,-68,27
1.11,-40,67,2,-68,24
1.12,-40,66,5,-69,22
1.13,-41,66,7,-69,20
1.14,-41,65,9,-69,18
1.15,-41,64,11,-69,16
1.16,-42,63,13,-69,13
1.17,-42,62,15,-69,12
1.18,-42,61,17,-69,10
1.19,-43,60,19,-69,8
1.2,-43,59,21,-69,6
1.21,-43,58,23,-69,4
1.22,-43,56,25,-68,2
1.23,-43,55,26,-68,1
1.24,-43,54,28,-68,0
1.25,-43,52,30,-67,-2
1.26,-43,51,32,-67,-4
1.27,-43,50,33,-66,-6
1.28,-43,48,35,-66,-7
1.29,-43,47,37,-65,-8
1.3,-43,45,39,-64,-11
1.31,-42,44,40,-63,-13
1.32,-42,43,41,-62,-14
1.33,-42,41,43,-62,-16
1.34,-42,39,45,-61,-18
1.35,-41,38,46,-60,-19
1.36,-41,37,47,-59,-20
1.37,-41,35,49,-58,-22
1.38,-40,33,50,-57,-24
1.39,-40,32,51,-56,-25
1.4,-40,30,53,-54,-28
1.41,-39,28,54,-53,-29
1.42,-39,27,55,-52,-30
1.43,-38,25,56,-51,-32
1.44,-38,24,57,-50,-34
1.45,-37,22,58,-48,-35
1.46,-37,20,59,-47,-36
1.47,-36,19,60,-45,-39
1.48,-36,17,61,-44,-40
1.49,-35,15,62,-43,-41
1.5,-34,13,63,-41,-43
1.51,-34,12,64,-39,-45
1.52,-33,10,64,-38,-46
1.53,-32,8,65,-36,-48
1.54,-32,7,66,-35,-49
1.55,-31,5,66,-33,-50
1.56,-30,3,67,-31,-52
1.57,-29,2,67,-29,-53
1.58,-29,0,68,-28,-54
